Country,OrgSize,DevType,AISelect,YearsCode,YearsCodePro,CodingActivities,ConvertedCompYearly
USA,medium_size,qa,no,low,low,codes_as_hobby,low
USA,medium_size,full_stack,yes,low,low,no_code_as_hobby,low
USA,medium_size,front_end,yes,medium,low,codes_as_hobby,medium
USA,medium_size,back_end,no,medium,low,no_code_as_hobby,medium
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,low
USA,medium_size,back_end,plan_to,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,medium
USA,medium_size,full_stack,plan_to,medium,low,codes_as_hobby,high
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,low
USA,medium_size,back_end,yes,medium,low,codes_as_hobby,low
USA,medium_size,front_end,no,medium,low,no_code_as_hobby,low
USA,medium_size,back_end,plan_to,medium,low,no_code_as_hobby,medium
USA,medium_size,back_end,yes,medium,low,codes_as_hobby,low
USA,medium_size,front_end,yes,medium,low,no_code_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,low
USA,medium_size,applications,plan_to,medium,low,codes_as_hobby,low
USA,medium_size,qa,plan_to,medium,low,no_code_as_hobby,low
USA,medium_size,full_stack,no,medium,low,codes_as_hobby,low
USA,medium_size,back_end,yes,medium,low,codes_as_hobby,high
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,no,medium,low,codes_as_hobby,low
USA,medium_size,front_end,yes,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,plan_to,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,low
USA,medium_size,back_end,no,medium,low,no_code_as_hobby,medium
USA,medium_size,back_end,plan_to,medium,low,no_code_as_hobby,high
USA,medium_size,applications,plan_to,medium,low,no_code_as_hobby,medium
USA,medium_size,back_end,plan_to,medium,low,no_code_as_hobby,low
USA,medium_size,mobile,no,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,plan_to,medium,low,no_code_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,no_code_as_hobby,low
USA,medium_size,embedded,no,medium,low,codes_as_hobby,low
USA,medium_size,back_end,plan_to,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,no,medium,low,codes_as_hobby,low
USA,medium_size,applications,yes,medium,low,codes_as_hobby,low
USA,medium_size,embedded,yes,medium,low,codes_as_hobby,low
USA,medium_size,back_end,plan_to,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,plan_to,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,low
USA,medium_size,front_end,no,medium,low,codes_as_hobby,low
USA,medium_size,front_end,yes,medium,low,no_code_as_hobby,low
USA,medium_size,full_stack,no,medium,low,no_code_as_hobby,low
USA,medium_size,full_stack,plan_to,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,plan_to,medium,low,codes_as_hobby,high
USA,medium_size,applications,no,medium,low,no_code_as_hobby,low
USA,medium_size,front_end,yes,medium,low,codes_as_hobby,low
USA,medium_size,back_end,no,medium,low,no_code_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,low
USA,medium_size,back_end,yes,medium,low,codes_as_hobby,high
USA,medium_size,embedded,plan_to,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,very_high
USA,medium_size,full_stack,plan_to,medium,low,no_code_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,medium
USA,medium_size,full_stack,plan_to,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,medium
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,low
USA,medium_size,back_end,yes,medium,low,codes_as_hobby,low
USA,medium_size,front_end,no,medium,low,no_code_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,very_high
USA,medium_size,front_end,yes,medium,low,codes_as_hobby,low
USA,medium_size,qa,yes,medium,low,codes_as_hobby,medium
USA,medium_size,applications,yes,medium,low,codes_as_hobby,very_high
USA,medium_size,front_end,yes,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,low,no_code_as_hobby,low
USA,medium_size,full_stack,plan_to,medium,low,no_code_as_hobby,low
USA,medium_size,applications,yes,medium,low,codes_as_hobby,high
USA,medium_size,full_stack,yes,high,low,codes_as_hobby,low
USA,medium_size,back_end,plan_to,high,low,codes_as_hobby,high
