episode,reward,avg10,epsilon,states,transitions
16,-246.4,-246.4,0.4615,31,1100
17,-240.7,-243.5,0.4592,32,1600
18,-239.8,-242.3,0.4569,32,2100
19,-243.1,-242.5,0.4546,32,2600
20,-244.9,-243.0,0.4523,32,3100
21,-674.0,-314.8,0.45,43,3600
22,2.8,-269.4,0.4478,85,4100
23,143.2,-217.9,0.4456,145,4600
24,66.2,-186.3,0.4433,147,5100
25,-212.2,-188.9,0.4411,147,5600
26,382.7,-126.0,0.4389,149,6100
27,336.4,-68.3,0.4367,153,6600
28,199.1,-24.4,0.4345,154,7100
29,50.9,5.0,0.4324,157,7600
30,-244.0,5.1,0.4302,157,8100
31,-250.0,47.5,0.428,157,8600
32,-7424.1,-695.2,0.4259,158,9100
33,-12749.4,-1984.4,0.4238,159,9600
34,-12750.0,-3266.1,0.4217,159,10100
35,-12748.8,-4519.7,0.4195,161,10600
36,-12747.0,-5832.7,0.4174,161,11100
37,-7251.1,-6591.4,0.4154,190,11600
38,-186.7,-6630.0,0.4133,204,12100
39,-135.4,-6648.6,0.4112,220,12600
40,-106.2,-6634.9,0.4092,221,13100
41,203.9,-6589.5,0.4071,291,13600
42,70.7,-5840.0,0.4051,345,14100
43,-133.1,-4578.4,0.4031,365,14600
44,-442.7,-3347.6,0.401,396,15100
45,186.7,-2054.1,0.399,476,15600
46,145.5,-764.8,0.397,567,16100
47,85.3,-31.2,0.3951,629,16600
48,350.7,22.5,0.3931,703,17100
49,-197.4,16.3,0.3911,707,17600
50,-207.1,6.3,0.3892,710,18100
51,-258.2,-40.0,0.3872,713,18600
52,-239.2,-70.9,0.3853,714,19100
53,-242.8,-81.9,0.3833,714,19600
54,-235.6,-61.2,0.3814,715,20100
55,-245.5,-104.4,0.3795,715,20600
56,-244.3,-143.4,0.3776,715,21100
57,-245.5,-176.5,0.3757,715,21600
58,-337.5,-245.3,0.3739,717,22100
59,-1604.9,-386.1,0.372,753,22600
60,99.2,-355.4,0.3701,807,23100
61,-96.8,-339.3,0.3683,809,23600
62,-249.4,-340.3,0.3664,810,24100
63,-248.7,-340.9,0.3646,812,24600
64,-250.0,-342.3,0.3628,812,25100
65,-248.8,-342.7,0.361,813,25600
66,-245.5,-342.8,0.3592,815,26100
67,-246.4,-342.9,0.3574,815,26600
68,-244.6,-333.6,0.3556,815,27100
69,-244.3,-197.5,0.3538,816,27600
