grid_x_bucket,grid_z_bucket,visit_count
204,139,48
204,138,46
203,138,200
203,139,122
203,139,20
203,138,72
203,140,27
202,140,1
203,138,4
203,137,1
202,137,2
202,138,1
201,138,3
201,139,3
201,138,2
201,138,4
201,138,6
200,139,4
200,138,4
200,138,1
200,138,2
200,138,2
201,137,3
201,137,6
201,138,2
201,137,1
201,138,10
201,138,3
216,156,1822
217,156,782
217,157,220
216,157,137
216,156,5
217,156,2
216,156,12
217,157,2
217,156,3
216,156,1
1066,435,1
164,169,1
165,169,2
165,169,2
165,168,17
164,167,4
164,167,2
164,167,3
164,167,1
164,167,1
163,167,3
163,167,2
163,167,2
163,168,3
164,167,2
164,166,2
164,166,8
164,166,2
165,167,4
165,167,15
166,167,4
165,168,2
166,168,37
166,169,1
167,168,7
167,169,37
167,169,1
167,170,1
168,169,11
168,170,65
169,170,7
169,170,1
169,170,1
169,170,2
169,170,64
169,170,14
169,170,8
169,170,98
170,170,1
169,170,1
169,170,3
169,170,7
169,170,6
170,170,5
170,170,12
170,169,48
170,169,1
169,169,48
169,169,1
169,169,1
169,169,1
169,169,2
1069,434,1
193,156,1
193,155,1
192,155,1
192,155,11
192,154,5
192,154,1
192,153,17
192,154,2
193,154,3
192,155,4
192,155,2
192,155,1
192,155,1
192,155,2
192,155,5
191,155,2
191,154,40
191,154,16
193,155,4
193,156,8
193,156,2
193,155,4
194,155,2
193,155,1
193,155,2
192,155,2
192,156,1
192,155,1
192,156,2
192,155,6
193,157,3
193,157,9
193,157,10
193,157,8
193,157,9
194,156,1
193,157,1
193,157,3
193,157,1
193,157,10
193,157,3
193,157,1
193,157,24
193,157,14
192,157,13
192,157,9
192,156,12
192,156,1
192,156,85
192,156,34
192,156,46
192,156,130
192,156,43
192,156,47
192,156,23
192,156,1135
192,156,200
192,155,81
192,156,22
192,156,1
192,156,1926
192,156,372
192,155,72
192,155,13
192,156,18
192,157,122
192,156,2463
192,155,60
193,156,26
192,157,23
192,157,3
179,134,37
179,135,54
178,134,4
178,135,8
180,135,7
180,135,2
180,135,3
180,135,7
180,135,9
180,135,1
179,135,2
179,134,1
180,134,1
180,135,1
180,135,1
180,134,6
180,135,3
180,134,1
180,134,9
180,135,7
180,135,2
179,135,3
180,136,2
179,136,10
178,136,2
177,136,5
179,136,27
179,135,16
179,134,7
180,134,8
181,134,2
181,134,3
180,133,9
181,133,41
181,132,66
182,133,113
182,134,2
182,132,118
181,132,557
181,131,126
182,131,16
182,132,132
182,133,93
181,133,44
181,131,1
180,131,2
181,132,1
181,132,5
181,132,1
182,132,32
182,131,1
183,131,1
183,131,2
183,130,31
183,130,7
183,130,1
184,130,2
181,132,254
181,133,2
180,132,5
180,132,4
181,130,16
180,130,3
179,128,10
178,128,4
177,128,19
176,127,8
176,126,4
176,128,12
176,129,2
178,127,1
176,129,7
176,129,2
176,129,2
176,129,8
176,129,2
177,129,1
177,129,2
177,129,1
176,129,1
176,129,1
176,129,4
176,129,16
176,129,17
176,128,1
176,130,8
175,130,11
175,130,2
175,130,1
175,130,1
175,130,2
175,130,1
175,129,6
175,130,2
176,130,2
176,130,1
176,129,4
176,129,3
176,129,4
176,129,1
176,129,1
176,129,5
176,129,4
176,130,2
176,129,1
176,129,3
176,129,1
176,129,2
176,130,8
176,130,3
176,130,1
175,130,17
175,131,3
175,131,1
175,131,13
175,131,1
175,131,2
175,131,3
175,131,3
175,131,1
175,131,2
175,131,2
183,159,4
182,159,1
181,158,1
181,153,3
181,152,2
181,151,8
181,151,5
181,150,1
181,151,2
181,151,2
181,151,17
181,151,4
181,151,36
181,150,8
181,150,10
180,151,16
182,151,1
183,152,3
182,152,2
182,151,17
181,152,1
181,150,2
181,150,1
181,151,2
181,151,20
181,150,11
181,150,27
180,150,5
179,149,5
181,151,2
181,151,40
182,151,4
182,151,30
183,151,10
183,151,5
183,151,2
183,151,1
183,151,5
183,151,7
183,150,8
182,152,10
181,153,19
181,153,2
180,153,7
180,154,28
180,154,5
181,154,3
180,155,6
180,155,1
180,155,4
181,154,2
181,154,17
181,154,4
181,154,2
181,154,2
181,155,2
181,155,4
181,154,16
182,154,3
181,153,68
181,152,36
182,153,23
182,152,25
182,153,7
182,153,17
181,153,4
181,153,1
181,153,2
181,153,2
181,152,3
181,153,26
182,153,2
181,153,3
181,152,1
181,152,35
182,152,14
181,153,2
181,152,11
181,152,2
181,152,318
181,152,16
181,153,10
181,153,80
181,153,16
180,153,67
180,152,96
180,152,18
180,152,1
180,152,3
180,153,49
180,153,2
172,107,4
172,108,1
174,110,1
174,111,1
174,112,2
175,113,2
175,114,2
176,115,14
177,116,2
176,116,2
177,115,6
178,114,10
178,114,6
178,113,16
179,114,7
177,114,7
177,114,1
177,114,1
178,114,2
178,114,2
178,114,5
177,114,7
178,114,1
178,114,1
178,114,2
178,115,3
178,115,5
177,114,7
178,114,3
178,115,1
178,114,2
177,114,49
178,114,39
177,115,36
178,115,39
176,114,2
178,115,2
178,116,4
177,116,12
177,117,1
177,115,2
177,115,11
178,116,2
178,115,3
179,115,4
179,114,18
179,113,4
179,114,7
180,113,4
181,113,1
179,112,9
179,112,1
179,112,2
180,111,2
180,111,7
180,111,2
180,111,5
180,111,1
178,113,2
178,113,2
178,113,2
178,112,83
177,112,5
177,113,3
177,113,3
176,113,1
176,113,2
176,113,1
176,113,2
176,113,1
177,113,2
177,113,1
177,114,2
177,113,1
177,114,6
177,114,2
177,114,1
177,114,2
177,114,1
177,114,1
177,114,3
177,114,5
176,112,8
176,113,3
176,113,2
176,113,1
176,113,3
175,112,4
175,112,5
176,112,1
176,112,13
176,112,2
176,112,2
175,112,4
176,112,4
178,112,1
178,112,1
178,112,4
178,112,3
178,112,4
176,112,13
176,112,1
176,113,6
176,113,10
175,114,38
175,114,1
175,113,1
175,113,1
175,113,1
174,113,2
174,113,9
174,113,23
174,113,1
174,113,1
174,113,1
174,113,2
174,113,1
174,113,4
174,113,2
174,113,11
174,113,22
174,114,2
174,114,1
175,113,2
175,113,4
175,113,6
175,113,8
175,115,17
174,115,15
173,115,3
173,116,26
174,116,7
174,116,1
174,116,3
174,116,1
174,116,11
173,117,1
174,116,12
174,116,5
173,116,4
173,116,1
173,116,6
173,116,4
172,116,2
174,117,1
174,116,2
174,117,1
174,116,7
174,116,1
174,116,1
173,116,2
175,116,5
176,116,1
175,113,1
175,113,6
175,113,2
175,114,1
174,113,3
174,112,3
174,112,1
174,112,2
174,112,1
174,112,3
174,112,1
173,112,1
173,112,3
173,113,2
173,112,2
173,112,2
173,112,1
172,112,1
172,112,3
173,112,12
173,111,5
173,111,3
173,110,10
173,110,4
173,111,1
173,110,18
172,110,2
173,111,8
173,109,12
173,110,1
173,109,1
172,111,5
173,111,12
172,111,40
172,111,3
172,111,1
1064,435,2
1064,435,1
168,140,4
170,135,1
170,134,4
170,127,7
170,126,2
170,128,71
169,128,35
169,129,9
169,129,15
169,128,4
169,128,1
169,128,1
169,128,3
168,128,2
168,127,5
167,127,7
167,128,3
167,126,2
166,126,12
166,127,2
165,127,4
164,127,1
166,126,6
166,125,1
165,126,1
164,126,3
167,125,1
167,125,1
167,125,1
167,125,1
166,126,1
166,126,6
169,128,41
169,128,12
169,129,5
170,128,32
170,128,6
170,128,31
169,129,46
169,129,34
170,128,7
169,128,1
169,129,4
170,129,2
170,129,5
171,128,4
171,127,7
172,127,11
172,128,6
172,127,1
172,128,2
172,128,3
172,128,6
172,128,1
172,128,7
172,128,2
172,128,7
171,128,1
171,128,1
171,128,5
171,128,2
171,129,9
171,129,3
171,129,5
171,129,19
172,129,22
171,128,13
171,128,2
171,129,6
171,129,2
171,129,1
171,129,23
171,129,3
171,128,55
171,129,2
172,129,6
172,128,16
171,128,7
170,128,21
170,129,4
170,129,1
170,129,3
170,129,26
173,128,16
173,128,19
173,128,1
169,129,2
172,128,5
173,128,1
173,128,2
206,138,14
205,138,21
206,137,2
205,139,5
205,138,8
205,138,4
205,138,4
205,139,1
205,139,1
205,139,3
205,139,1
206,140,2
206,140,4
206,140,4
206,140,1
206,140,2
206,140,6
206,140,2
206,140,1
206,140,3
206,140,1
206,140,1
206,140,1
206,140,14
206,139,6
206,140,4
206,140,3
206,140,11
206,140,4
206,140,4
206,140,1
206,140,2
206,140,1
206,140,1
206,141,2
206,140,8
205,141,8
205,141,3
205,139,5
205,139,1
205,139,5
205,139,6
205,139,1
205,139,8
205,139,9
205,139,7
206,139,6
205,139,2
206,140,25
206,140,93
206,141,681
206,142,4
205,140,17
205,140,444
205,140,15
205,140,2486
206,140,352
205,141,640
206,141,263
205,139,13
205,140,215
205,140,13
205,140,41
171,136,10
171,136,2
171,137,10
171,135,4
171,135,1
171,135,2
171,135,13
171,134,1
171,136,2
171,136,1
171,136,1
171,135,2
171,135,1
171,135,3
171,135,6
171,136,3
171,135,5
